,N,variable,Episodes to Learn
0,4,E Greedy,233.9
1,6,E Greedy,248.66
2,8,E Greedy,249.12
3,10,E Greedy,248.6
4,12,E Greedy,372.06
5,14,E Greedy,1000.0
6,16,E Greedy,1000.0
7,18,E Greedy,984.84
8,4,BN,243.4
9,6,BN,277.22
10,8,BN,459.04
11,10,BN,760.18
12,12,BN,979.1
13,14,BN,1000.0
14,16,BN,1000.0
15,18,BN,1000.0
16,4,Deep BN,240.54
17,6,Deep BN,276.7
18,8,Deep BN,485.48
19,10,Deep BN,803.68
20,12,Deep BN,960.9
21,14,Deep BN,1000.0
22,16,Deep BN,1000.0
23,18,Deep BN,1000.0
24,4,BNIG,540.76
25,6,BNIG,892.48
26,8,BNIG,938.74
27,10,BNIG,938.74
28,12,BNIG,939.68
29,14,BNIG,896.98
30,16,BNIG,968.92
31,18,BNIG,970.1
32,4,Deep BNIG,309.72
33,6,Deep BNIG,401.66
34,8,Deep BNIG,390.6
35,10,Deep BNIG,510.1
36,12,Deep BNIG,413.88
37,14,Deep BNIG,500.24
38,16,Deep BNIG,537.8
39,18,Deep BNIG,645.24
