,N,variable,Episodes to Learn
0,4,E Greedy,233.5
1,6,E Greedy,233.6
2,8,E Greedy,233.0
3,10,E Greedy,234.1
4,12,E Greedy,310.0
5,14,E Greedy,1000.0
6,16,E Greedy,1000.0
7,18,E Greedy,924.8
8,4,BN,241.6
9,6,BN,279.8
10,8,BN,363.5
11,10,BN,676.3
12,12,BN,937.6
13,14,BN,1000.0
14,16,BN,1000.0
15,18,BN,1000.0
16,4,Deep BN,241.7
17,6,Deep BN,254.2
18,8,Deep BN,567.1
19,10,Deep BN,781.0
20,12,Deep BN,1000.0
21,14,Deep BN,1000.0
22,16,Deep BN,1000.0
23,18,Deep BN,1000.0
24,4,BNIG,617.9
25,6,BNIG,770.1
26,8,BNIG,1000.0
27,10,BNIG,1000.0
28,12,BNIG,851.8
29,14,BNIG,923.0
30,16,BNIG,1000.0
31,18,BNIG,935.0
32,4,Deep BNIG,309.2
33,6,Deep BNIG,386.4
34,8,Deep BNIG,310.3
35,10,Deep BNIG,471.4
36,12,Deep BNIG,615.2
37,14,Deep BNIG,358.5
38,16,Deep BNIG,536.5
39,18,Deep BNIG,666.1
