Wall time,Step,Value
1560181200.5344112,1000,972.390625
1560181204.6600153,1500,4396.5625
1560181212.8847027,2000,9850.125
1560181217.0122342,2500,15167.75
1560181224.309662,3000,29411.0
1560181227.7164989,3500,26685.75
1560181235.162297,4000,47361.0
1560181238.447622,4500,66134.0
1560181246.1670897,5000,59302.0
1560181249.4533505,5500,97606.5
1560181257.061198,6000,111093.0
1560181260.385385,6500,125797.0
1560181263.6510167,7000,100924.5
1560181271.4011607,7500,147446.0
1560181274.6963437,8000,175727.0
1560181282.394797,8500,172450.0
1560181285.74282,9000,256413.0
1560181293.3538537,9500,264620.0
1560181296.7139807,10000,340890.0
1560181304.2662063,10500,288787.0
1560181307.3697739,11000,369808.0
1560181310.846548,11500,316752.0
1560181319.7025125,12000,292862.0
1560181323.8521981,12500,346624.0
1560181333.0642996,13000,307939.0
1560181336.9410005,13500,440523.0
1560181345.669938,14000,386723.0
1560181349.0094473,14500,503810.0
1560181356.520442,15000,312810.0
1560181359.780494,15500,457375.0
1560181362.9342318,16000,226383.0
1560181370.492356,16500,562915.0
1560181373.6174405,17000,452021.0
1560181381.219074,17500,507933.0
1560181384.3538187,18000,529191.0
1560181391.8478842,18500,731921.0
1560181394.973868,19000,600577.0
1560181402.2911372,19500,870433.0
1560181405.4307904,20000,409853.0
1560181408.5605035,20500,338315.0
1560181415.9568055,21000,485951.0
1560181419.0481122,21500,747879.0
1560181426.402801,22000,474131.0
1560181429.5331209,22500,323615.0
1560181432.659595,23000,452311.0
1560181440.1909647,23500,113893.0
1560181443.3213048,24000,251649.0
1560181450.8057659,24500,648115.0
1560181453.9345524,25000,473653.0
1560181461.3797698,25500,715427.0
1560181464.5347862,26000,697267.0
1560181467.9527135,26500,907771.0
1560181475.5492802,27000,706773.0
1560181478.76169,27500,701135.0
1560181486.2158377,28000,697875.0
1560181489.5466912,28500,886277.0
1560181497.379358,29000,797053.0
1560181500.7925584,29500,1047679.0
1560181508.5684774,30000,725529.0
1560181511.8865702,30500,275765.0
1560181515.1586254,31000,780179.0
1560181522.873569,31500,739049.0
1560181526.6289332,32000,760219.0
1560181534.4147124,32500,1175677.0
1560181537.6741242,33000,811987.0
1560181545.2424364,33500,86869.0
1560181548.3588977,34000,557817.0
1560181555.8134737,34500,416973.0
1560181558.9128509,35000,1076581.0
1560181566.656186,35500,484969.0
1560181569.906207,36000,170835.0
1560181573.1449647,36500,850535.0
1560181580.5477405,37000,296579.0
1560181583.6334217,37500,868981.0
1560181591.1420166,38000,1238875.0
1560181594.2505827,38500,740387.0
1560181597.4239242,39000,243157.0
1560181604.9054518,39500,1304593.0
1560181608.020949,40000,801941.0
1560181615.5518558,40500,1424469.0
1560181618.670749,41000,256461.0
1560181626.2969205,41500,1024281.0
1560181629.5316746,42000,855941.0
1560181636.979563,42500,1530797.0
1560181640.060516,43000,624521.0
1560181643.1709945,43500,1509865.0
1560181651.6283085,44000,943781.0
1560181655.750908,44500,592561.0
1560181664.6954467,45000,825633.0
1560181669.1496558,45500,675933.0
1560181677.8249753,46000,1385453.0
1560181680.9253294,46500,961845.0
1560181688.5717123,47000,296113.0
1560181691.6529877,47500,806149.0
1560181699.3399224,48000,112061.0
1560181702.9056098,48500,982101.0
1560181710.7175417,49000,533421.0
1560181713.8514745,49500,853537.0
1560181721.5792952,50000,230945.0
1560181724.7847776,50500,1037461.0
1560181727.9853494,51000,1690497.0
1560181735.7449708,51500,1015581.0
1560181739.0596113,52000,1269825.0
1560181746.808967,52500,1237665.0
1560181749.8163366,53000,850005.0
1560181757.2208774,53500,707805.0
1560181760.2208095,54000,738761.0
1560181767.7462585,54500,857249.0
1560181770.9200406,55000,995177.0
1560181774.1614404,55500,905129.0
