Wall time,Step,Value
1560184054.5891995,1000,1511.94140625
1560184062.2822902,1500,3969.78125
1560184065.512321,2000,6598.1875
1560184068.866839,2500,8943.625
1560184076.5302055,3000,11840.0
1560184079.7447464,3500,34478.75
1560184087.2669818,4000,38944.75
1560184090.6029723,4500,61488.25
1560184098.3305345,5000,70102.0
1560184101.712922,5500,85923.5
1560184109.2806914,6000,90328.0
1560184112.5940564,6500,107752.0
1560184119.9775884,7000,109765.5
1560184123.256059,7500,106933.0
1560184126.4868622,8000,105920.0
1560184134.279065,8500,110257.0
1560184137.5951536,9000,125945.0
1560184145.043662,9500,164472.0
1560184148.4815915,10000,138656.0
1560184156.0300741,10500,158978.0
1560184159.477284,11000,141367.0
1560184167.944052,11500,157892.0
1560184171.1048625,12000,181089.0
1560184178.8456824,12500,179872.0
1560184182.2383184,13000,192305.0
1560184189.9028862,13500,205485.0
1560184193.1948266,14000,188467.0
1560184200.6576643,14500,232770.0
1560184204.252761,15000,192665.0
1560184207.6453834,15500,218939.0
1560184215.2017267,16000,214402.0
1560184218.717411,16500,239482.0
1560184226.5607667,17000,238874.0
1560184229.8500042,17500,266849.0
1560184237.5474617,18000,327798.0
1560184241.0099144,18500,234595.0
1560184248.7006495,19000,266535.0
1560184251.9416246,19500,262794.0
1560184262.5901914,20000,278355.0
1560184266.1618354,20500,259090.0
1560184269.4868536,21000,301474.0
1560184277.1338313,21500,293794.0
1560184280.5651996,22000,281364.0
1560184288.6533928,22500,296968.0
1560184292.1562252,23000,262455.0
1560184300.3026633,23500,207519.0
1560184304.102612,24000,282997.0
1560184312.3145127,24500,259047.0
1560184316.1802025,25000,312403.0
1560184324.370066,25500,296673.0
1560184327.9204943,26000,252449.0
1560184331.07877,26500,351839.0
1560184338.5200298,27000,409247.0
1560184341.6784708,27500,291189.0
1560184349.5199363,28000,351913.0
1560184352.9718416,28500,280769.0
1560184360.5283642,29000,309719.0
1560184363.694419,29500,357133.0
1560184371.0984604,30000,378297.0
1560184374.2431493,30500,345315.0
1560184381.897989,31000,316631.0
1560184385.0837872,31500,340415.0
1560184392.5835214,32000,388019.0
1560184395.883802,32500,366517.0
1560184403.4656918,33000,353563.0
1560184406.8535817,33500,450905.0
1560184410.0786345,34000,421615.0
1560184417.7101793,34500,300365.0
1560184421.0390112,35000,359417.0
1560184428.8569927,35500,378115.0
1560184432.302964,36000,364857.0
1560184440.068216,36500,377891.0
1560184443.5130978,37000,340835.0
1560184451.2231302,37500,461909.0
1560184454.7366304,38000,393755.0
1560184462.4547002,38500,412985.0
1560184465.6667078,39000,427347.0
1560184473.529339,39500,392311.0
1560184476.7012184,40000,380655.0
1560184479.8613186,40500,416199.0
1560184487.5950358,41000,345651.0
1560184490.9977608,41500,327301.0
1560184499.0296829,42000,469825.0
1560184502.5152612,42500,360181.0
1560184510.3483937,43000,438945.0
1560184513.6202688,43500,391087.0
1560184521.4956145,44000,472665.0
1560184524.9743867,44500,410999.0
1560184532.812451,45000,554573.0
1560184536.1023355,45500,503489.0
1560184544.0777287,46000,505843.0
1560184547.4266589,46500,417339.0
1560184555.3627677,47000,418715.0
1560184558.719985,47500,416985.0
1560184566.5703523,48000,486279.0
1560184570.3623276,48500,561747.0
1560184578.7299461,49000,403009.0
1560184582.6043518,49500,473629.0
1560184591.0652652,50000,538833.0
1560184594.8199542,50500,544721.0
1560184598.4226165,51000,507187.0
1560184606.281394,51500,590773.0
1560184609.556968,52000,490227.0
1560184617.4711637,52500,452299.0
1560184620.9163756,53000,523567.0
1560184628.559484,53500,466723.0
1560184631.65171,54000,441233.0
